1728,1470,1347,2666,392,1806,1590,447,2188,2487
1472,1825,1763,1597,840,1291,1820,2033,105,647
1645,483,889,427,1580,558,51,1992,817,1485
1904,669,535,1286,236,1158,1481,508,2176,568
10,1,778,1534,795,1224,2363,1849,882,387
500,2638,750,2323,1403,1739,810,1175,834,246
1383,1904,627,1008,1305,1036,2189,714,1119,1751
1119,70,241,2171,799,832,2020,619,1305,968
1469,2571,607,2479,2169,1940,338,2523,2098,1745
907,544,1278,1940,468,1345,2479,1879,1387,1010
1120,1894,764,2022,523,2327,139,1211,1317,2314
851,101,1627,1056,561,1602,1097,1248,590,2356
1129,1453,2248,1439,2675,884,1676,2271,2590,419
545,1851,499,1793,1222,170,1513,636,1445,2527
1851,987,156,1160,2527,858,1840,1249,579,2578
1638,236,568,700,2487,2559,2282,986,1305,114
1225,1897,1169,1334,2414,496,1171,1480,293,43
866,750,1739,2079,2323,834,199,1416,2016,1457
1196,676,2259,251,2234,529,1530,221,2608,2073
2210,1834,1455,2394,84,1111,8,42,2236,227
1599,24,1926,83,16,763,1365,1585,1811,2332
2652,1129,981,2134,1589,2442,196,2366,2173,187
2442,1005,2223,653,1921,387,334,2363,1610,467
2113,1268,919,979,2144,183,1437,2014,2222,1427
1492,1357,2033,1139,800,608,597,2384,1171,1725
800,2384,1139,2058,870,2176,402,597,1024,647
1613,892,1129,869,2183,1657,2563,386,816,978
1840,681,2048,1902,2578,787,2298,1691,499,2340
594,1919,618,130,2085,590,2684,1303,1952,422
2631,1763,1694,1055,1825,1131,1597,1828,1203,1217
1056,83,1976,2644,1179,2039,634,1021,1130,2231
2490,347,606,1100,1072,2109,974,2588,1511,2577
426,1757,1761,1184,1059,2567,2266,2121,1740,1778
1486,2168,2477,1021,1910,130,113,2139,2353,1360
125,1932,652,2440,2442,1943,2587,1708,1921,467
965,102,1633,180,1490,165,380,1695,112,1491
